name,provider_epg_id
US: HBO FAMILY HD,HBOFamily.us
US: AMC THRILLERS 4K,AMCThrillers.us
US: PETER GRIFFIN 24H,
US: PBS ARIZONA PHOENIX HD,
US: CINEMAX THRILLERMAX HD,Cinemax.us
US: CINE CLUB,
US: CINE PRO BET+,
US: MOVIEMAX HD,MovieMax.us
US: OUTERMAX HD,OuterMax.us
US: 24/7 UGLY BETTY HD,
US: 24/7 THE O.C. 4K,
US: 24/7 SCRUBS HD,
US: 24/7 ONE TREE HILL 4K,
US: 24/7 MIDSOMER MURDERS 4K,
