name,base_name,stream_id,best_score
PRIME: CBS NEWS PITTSBURGH RAW,CBS NEWS PITTSBURGH,,85.5
PRIME: CBS NEWS TEXAS RAW,CBS NEWS TEXAS,,90.0
PRIME: CBS SPORTS GOLAZO NETWORK RAW,CBS SPORTS GOLAZO NETWORK,,90.0
PRIME: CBS WASHINGTON DC NEWS (WUSA 9) RAW,CBS WASHINGTON DC NEWS (WUSA 9),,85.5
PRIME: CELEBRITY NAME GAME RAW,CELEBRITY NAME GAME,,90.0
PRIME: CHAOS ON CAM BY A&E RAW,CHAOS ON CAM BY A&E,,90.0
PRIME: CHASING CRIMINALS RAW,CHASING CRIMINALS,,71.0
PRIME: CHEATERS RAW,CHEATERS,,90.0
PRIME: CHOPPERTOWNTV RAW,CHOPPERTOWNTV,,72.0
PRIME: CHRIS HANSEN'S TRUBLU CRIME NETWORK RAW,CHRIS HANSEN'S TRUBLU CRIME NETWORK,,85.5
PRIME: CINE DE ORO RAW,CINE DE ORO,,85.5
PRIME: CINE RETRO RAW,CINE RETRO,,90.0
PRIME: CINEMAX EAST RAW,CINEMAX EAST,,90.0
PRIME: CINEMAX WEST RAW,CINEMAX WEST,,90.0
PRIME: CIRQUE DU SOLEIL RAW,CIRQUE DU SOLEIL,,90.0
PRIME: CLASSIC CAR AUCTIONS RAW,CLASSIC CAR AUCTIONS,,90.0
PRIME: CLASSIC CINEMA RAW,CLASSIC CINEMA,,90.0
PRIME: CLASSIC DOCTOR WHO RAW,CLASSIC DOCTOR WHO,,90.0
PRIME: CNN HEADLINES RAW,CNN HEADLINES,,90.0
PRIME: CNN ORIGINALS RAW,CNN ORIGINALS,,90.0
PRIME: CNÑ XPRESS RAW,CNÑ XPRESS,,72.0
PRIME: COLD CASE FILES RAW,COLD CASE FILES,,90.0
PRIME: COMBAT WAR CHANNEL RAW,COMBAT WAR CHANNEL,,90.0
PRIME: COME DINE WITH ME RAW,COME DINE WITH ME,,90.0
PRIME: COMEDY DYNAMICS RAW,COMEDY DYNAMICS,,90.0
PRIME: COMO DICE EL DICHO RAW,COMO DICE EL DICHO,,85.5
PRIME: CONFESS BY NOSEY RAW,CONFESS BY NOSEY,,90.0
PRIME: COOK'S COUNTRY RAW,COOK'S COUNTRY,,85.5
PRIME: CORNER GAS RAW,CORNER GAS,,90.0
PRIME: COUPLES COURT RAW,COUPLES COURT,,90.0
PRIME: CRIME & JUSTICE RAW,CRIME & JUSTICE,,90.0
PRIME: CRIME CULTS KILLERS BY A&E RAW,CRIME CULTS KILLERS BY A&E,,85.5
PRIME: CRIME SCENES RAW,CRIME SCENES,,90.0
PRIME: CRIME THRILLHER RAW,CRIME THRILLHER,,90.0
PRIME: CRIMEN RAW,CRIMEN,,90.0
PRIME: CRUNCHYROLL RAW,CRUNCHYROLL,,90.0
PRIME: CSI RAW,CSI,,90.0
PRIME: CURB APPEAL RAW,CURB APPEAL,,68.4
PRIME: CW FOREVER RAW,CW FOREVER,,90.0
PRIME: CW GOLD RAW,CW GOLD,,90.0
PRIME: DANCE MOMS RAW,DANCE MOMS,,90.0
PRIME: DATELINE 24/7 RAW,DATELINE 24/7,,85.5
PRIME: DEAL OR NO DEAL RAW,DEAL OR NO DEAL,,90.0
PRIME: DEAL ZONE RAW,DEAL ZONE,,90.0
PRIME: DEATH VALLEY DAYS RAW,DEATH VALLEY DAYS,,90.0
PRIME: DEGRASSI RAW,DEGRASSI,,90.0
PRIME: DESIGNATED SURVIVOR RAW,DESIGNATED SURVIVOR,,90.0
PRIME: DIVORCE COURT RAW,DIVORCE COURT,,90.0
PRIME: DOG THE BOUNTY HUNTER RAW,DOG THE BOUNTY HUNTER,,90.0
PRIME: DON'T TELL THE BRIDE RAW,DON'T TELL THE BRIDE,,90.0
PRIME: DOVE TV RAW,DOVE TV,,90.0
PRIME: DP WORLD TOUR RAW,DP WORLD TOUR,,90.0
PRIME: DR. PHIL RAW,DR. PHIL,,90.0
PRIME: DR. PHIL PRIMETIME ON MERIT STREET RAW,DR. PHIL PRIMETIME ON MERIT STREET,,90.0
PRIME: DUCK DYNASTY RAW,DUCK DYNASTY,,90.0
PRIME: DUNGEONS & DRAGONS RAW,DUNGEONS & DRAGONS,,90.0
PRIME: E! KEEPING UP RAW,E! KEEPING UP,,90.0
PRIME: EARTHDAY 365 RAW,EARTHDAY 365,,81.8
PRIME: EBONY TV BY LIONSGATE RAW,EBONY TV BY LIONSGATE,,90.0
PRIME: EL REY REBEL RAW,EL REY REBEL,,90.0
PRIME: ELECTRIC NOW RAW,ELECTRIC NOW,,90.0
PRIME: ELLEN DEGENERES RAW,ELLEN DEGENERES,,72.0
PRIME: ET RAW,ET,,90.0
PRIME: EXTREME EXPEDITIONS RAW,EXTREME EXPEDITIONS,,68.4
PRIME: EXTREME JOBS BY LIONSGATE RAW,EXTREME JOBS BY LIONSGATE,,85.5
PRIME: EXTREME LIVING RAW,EXTREME LIVING,,90.0
PRIME: EXTREME MAKEOVER: HOME EDITION RAW,EXTREME MAKEOVER: HOME EDITION,,85.5
PRIME: F1 TV RAW,F1 TV,,90.0
PRIME: FAILARMY STREAM RAW,FAILARMY STREAM,,90.0
PRIME: FAITHFULLY FUNNY RAW,FAITHFULLY FUNNY,,61.1
PRIME: FAMILY FEUD RAW,FAMILY FEUD,,90.0
PRIME: FAMILY UNSCRIPTED RAW,FAMILY UNSCRIPTED,,90.0
PRIME: FANDUEL SPORTS NETWORK DETROIT RAW,FANDUEL SPORTS NETWORK DETROIT,,90.0
PRIME: FANDUEL SPORTS NETWORK EXTRA RAW,FANDUEL SPORTS NETWORK EXTRA,,90.0
PRIME: FARSCAPE RAW,FARSCAPE,,90.0
PRIME: FEAR FACTOR USA RAW,FEAR FACTOR USA,,90.0
PRIME: FGTEEV RAW,FGTEEV,,60.0
PRIME: FIFTH GEAR RAW,FIFTH GEAR,,90.0
PRIME: FILMRISE ACTION RAW,FILMRISE ACTION,,90.0
PRIME: FILMRISE BLACK TV RAW,FILMRISE BLACK TV,,90.0
PRIME: FILMRISE BRITISH TV RAW,FILMRISE BRITISH TV,,90.0
PRIME: FILMRISE CLASSIC TV RAW,FILMRISE CLASSIC TV,,90.0
PRIME: FILMRISE FREE MOVIES RAW,FILMRISE FREE MOVIES,,90.0
PRIME: FILMRISE TRUE CRIME RAW,FILMRISE TRUE CRIME,,90.0
PRIME: FILMRISE WESTERNS RAW,FILMRISE WESTERNS,,90.0
PRIME: FORENSIC FILES RAW,FORENSIC FILES,,90.0
PRIME: FOX 10 PHOENIX RAW,FOX 10 PHOENIX,,85.5
PRIME: FOX 11 LOS ANGELES RAW,FOX 11 LOS ANGELES,,85.5
PRIME: FOX 13 SEATTLE RAW,FOX 13 SEATTLE,,85.5
PRIME: FOX 13 TAMPA BAY RAW,FOX 13 TAMPA BAY,,85.5
PRIME: FOX 2 DETROIT RAW,FOX 2 DETROIT,,85.5
PRIME: FOX 2 SAN FRANCISCO RAW,FOX 2 SAN FRANCISCO,,85.5
PRIME: FOX 26 HOUSTON RAW,FOX 26 HOUSTON,,85.5
PRIME: FOX 29 PHILADELPHIA RAW,FOX 29 PHILADELPHIA,,85.5
PRIME: FOX 32 CHICAGO RAW,FOX 32 CHICAGO,,85.5
PRIME: FOX 35 ORLANDO RAW,FOX 35 ORLANDO,,90.0
PRIME: FOX 4 DALLAS FORT WORTH RAW,FOX 4 DALLAS FORT WORTH,,85.5
PRIME: FOX 5 ATLANTA RAW,FOX 5 ATLANTA,,85.5
PRIME: FOX 5 NEW YORK RAW,FOX 5 NEW YORK,,85.5
PRIME: FOX 5 WASHINGTON DC RAW,FOX 5 WASHINGTON DC,,85.5
PRIME: FOX 6 MILWAUKEE RAW,FOX 6 MILWAUKEE,,85.5
PRIME: FOX 7 AUSTIN RAW,FOX 7 AUSTIN,,85.5
PRIME: FOX 9 MINNEAPOLIS RAW,FOX 9 MINNEAPOLIS,,85.5
PRIME: FOX WEATHER RAW,FOX WEATHER,,90.0
PRIME: FUNNY FAVORITES RAW,FUNNY FAVORITES,,85.5
PRIME: FV AMC EN ESPAÑOL US RAW,FV AMC EN ESPAÑOL US,,90.0
PRIME: GALANES RAW,GALANES,,90.0
PRIME: GAME SHOW CENTRAL RAW,GAME SHOW CENTRAL,,90.0
PRIME: GAMEPLAY MINECRAFT RAW,GAMEPLAY MINECRAFT,,65.5
PRIME: GAMEPLAY ROBLOX RAW,GAMEPLAY ROBLOX,,90.0
PRIME: GARDENING WITH MONTY DON RAW,GARDENING WITH MONTY DON,,85.5
PRIME: GENERAL HOSPITAL RAW,GENERAL HOSPITAL,,72.0
PRIME: GET COMEDY RAW,GET COMEDY,,90.0
PRIME: GHOST HUNTERS RAW,GHOST HUNTERS,,90.0
PRIME: GHOSTS ARE REAL RAW,GHOSTS ARE REAL,,90.0
PRIME: GLORY KICKBOXING RAW,GLORY KICKBOXING,,90.0
PRIME: GOLFPASS RAW,GOLFPASS,,90.0
PRIME: GRANDES PAREJAS RAW,GRANDES PAREJAS,,90.0
PRIME: GREAT BRITISH MENU RAW,GREAT BRITISH MENU,,90.0
PRIME: GREEN ACRES RAW,GREEN ACRES,,90.0
PRIME: GRIT XTRA RAW,GRIT XTRA,,90.0
PRIME: GROWING UP HIP HOP WE TV RAW,GROWING UP HIP HOP WE TV,,85.5
PRIME: HALLMARK MOVIES & MORE RAW,HALLMARK MOVIES & MORE,,90.0
PRIME: HARLEM RAW,HARLEM,,75.0
PRIME: HAUNTTV RAW,HAUNTTV,,83.3
PRIME: HBO RAW,HBO,,90.0
PRIME: HBO BOXING RAW,HBO BOXING,,90.0
PRIME: HELL'S KITCHEN/KITCHEN NIGHTMARES RAW,HELL'S KITCHEN/KITCHEN NIGHTMARES,,85.5
PRIME: HERSPHERE RAW,HERSPHERE,,90.0
PRIME: HI-YAH! RAW,HI-YAH!,,90.0
PRIME: HISTORY & UNDISCOVERED RAW,HISTORY & UNDISCOVERED,,90.0
PRIME: HISTORY HIT CHANNEL RAW,HISTORY HIT CHANNEL,,90.0
PRIME: HISTORY UNTOLD RAW,HISTORY UNTOLD,,90.0
PRIME: HIT SITCOMS RAW,HIT SITCOMS,,90.0
PRIME: HOLIDAYSCAPES RAW,HOLIDAYSCAPES,,90.0
PRIME: HOME CRASHERS RAW,HOME CRASHERS,,90.0
PRIME: HOME.MADE.NATION RAW,HOME.MADE.NATION,,90.0
PRIME: HOMEFUL RAW,HOMEFUL,,90.0
PRIME: HORROR STORIES RAW,HORROR STORIES,,90.0
PRIME: HOT ONES RAW,HOT ONES,,90.0
PRIME: HOW TO RAW,HOW TO,,90.0
PRIME: HSN RAW,HSN,,90.0
PRIME: HUNTER RAW,HUNTER,,90.0
PRIME: HUNTER X HUNTER RAW,HUNTER X HUNTER,,85.5
PRIME: I  (ALMOST) GOT AWAY WITH IT RAW,I  (ALMOST) GOT AWAY WITH IT,,85.5
PRIME: I WAS HAUNTED RAW,I WAS HAUNTED,,90.0
PRIME: ICE ROAD TRUCKERS RAW,ICE ROAD TRUCKERS,,90.0
PRIME: IFC FILMS PICKS RAW,IFC FILMS PICKS,,90.0
PRIME: IMPACT GOSPEL RAW,IMPACT GOSPEL,,90.0
PRIME: IMPOSSIBLE - QUIZ SHOW RAW,IMPOSSIBLE - QUIZ SHOW,,90.0
PRIME: IN THE GARAGE RAW,IN THE GARAGE,,85.5
PRIME: IN THE HEAT OF THE NIGHT RAW,IN THE HEAT OF THE NIGHT,,90.0
PRIME: IN TOUCH + RAW,IN TOUCH +,,85.5
PRIME: INSIDE EDITION RAW,INSIDE EDITION,,77.1
