name,base_name,stream_id,best_score
PRIME: ROVR PETS RAW,ROVR PETS,,90.0
PRIME: RUGBYPASS TV RAW,RUGBYPASS TV,,72.0
PRIME: RUPAUL'S DRAG RACE RAW,RUPAUL'S DRAG RACE,,90.0
PRIME: RUSTIC RETREATS RAW,RUSTIC RETREATS,,76.0
PRIME: SAVED BY THE BELL RAW,SAVED BY THE BELL,,85.5
PRIME: SAY YES TO THE DRESS RAW,SAY YES TO THE DRESS,,90.0
PRIME: SCIENCE IS AMAZING RAW,SCIENCE IS AMAZING,,90.0
PRIME: SCREAMBOXTV RAW,SCREAMBOXTV,,77.0
PRIME: SHOUT! MOVIES RAW,SHOUT! MOVIES,,90.0
PRIME: SHOWTIME WEST RAW,SHOWTIME WEST,,90.0
PRIME: SILENT WITNESS & NEW TRICKS RAW,SILENT WITNESS & NEW TRICKS,,88.0
PRIME: SKY NEWS RAW,SKY NEWS,,90.0
PRIME: SLIGHTLY OFF IFC RAW,SLIGHTLY OFF IFC,,90.0
PRIME: SNL VAULT RAW,SNL VAULT,,90.0
PRIME: SPACE & BEYOND RAW,SPACE & BEYOND,,90.0
PRIME: SPEED SPORT 1 RAW,SPEED SPORT 1,,90.0
PRIME: SPEEDVISION RAW,SPEEDVISION,,90.0
PRIME: SPONGEBOB SQUAREPANTS UNIVERSE RAW,SPONGEBOB SQUAREPANTS UNIVERSE,,78.8
PRIME: SPOOKS (MI-5) RAW,SPOOKS (MI-5),,85.5
PRIME: STADIUM RAW,STADIUM,,90.0
PRIME: STAR TREK RAW,STAR TREK,,85.5
PRIME: STARGATE RAW,STARGATE,,90.0
PRIME: STARTALK RAW,STARTALK,,90.0
PRIME: STORAGE WARS RAW,STORAGE WARS,,90.0
PRIME: SUNDANCE TV RAW,SUNDANCE TV,,90.0
PRIME: SUPERMARKET SWEEP RAW,SUPERMARKET SWEEP,,90.0
PRIME: SUPERNANNY RAW,SUPERNANNY,,60.0
PRIME: SURVIVE OR DIE RAW,SURVIVE OR DIE,,90.0
PRIME: SURVIVOR RAW,SURVIVOR,,90.0
PRIME: SWEET ESCAPES RAW,SWEET ESCAPES,,90.0
PRIME: SWERVE COMBAT RAW,SWERVE COMBAT,,90.0
PRIME: T.D. JAKES RAW,T.D. JAKES,,85.5
PRIME: TBN RAW,TBN,,90.0
PRIME: TBN'S WOMEN OF FAITH RAW,TBN'S WOMEN OF FAITH,,85.5
PRIME: TEAM USA RAW,TEAM USA,,90.0
PRIME: TEEN WOLF RAW,TEEN WOLF,,90.0
PRIME: TELEMUNDO ACCIÓN RAW,TELEMUNDO ACCIÓN,,90.0
PRIME: TELEMUNDO AL DIA RAW,TELEMUNDO AL DIA,,90.0
PRIME: TELEMUNDO NOTICIAS CALIFORNIA RAW,TELEMUNDO NOTICIAS CALIFORNIA,,75.3
PRIME: TELEMUNDO NOTICIAS FLORIDA RAW,TELEMUNDO NOTICIAS FLORIDA,,77.7
PRIME: TELEMUNDO NOTICIAS NORESTE RAW,TELEMUNDO NOTICIAS NORESTE,,77.7
PRIME: TELEMUNDO NOTICIAS TEXAS RAW,TELEMUNDO NOTICIAS TEXAS,,81.4
PRIME: THAT'S SO 90S RAW,THAT'S SO 90S,,85.5
PRIME: THE ADDAMS FAMILY RAW,THE ADDAMS FAMILY,,90.0
PRIME: THE APPRENTICE RAW,THE APPRENTICE,,77.1
PRIME: THE ASYLUM MOVIE CHANNEL RAW,THE ASYLUM MOVIE CHANNEL,,90.0
PRIME: THE BIGGEST LOSER RAW,THE BIGGEST LOSER,,90.0
PRIME: THE BOB ROSS CHANNEL RAW,THE BOB ROSS CHANNEL,,90.0
PRIME: THE BOLD AND THE BEAUTIFUL RAW,THE BOLD AND THE BEAUTIFUL,,90.0
PRIME: THE CAROL BURNETT SHOW RAW,THE CAROL BURNETT SHOW,,90.0
PRIME: THE CHALLENGE RAW,THE CHALLENGE,,72.0
PRIME: THE CONNERS RAW,THE CONNERS,,90.0
PRIME: THE DEAD FILES RAW,THE DEAD FILES,,85.5
PRIME: THE DICK VAN DYKE SHOW RAW,THE DICK VAN DYKE SHOW,,85.5
PRIME: THE DOCTORS RAW,THE DOCTORS,,90.0
PRIME: THE DOG WHISPERER WITH CESAR MILLAN RAW,THE DOG WHISPERER WITH CESAR MILLAN,,79.7
PRIME: THE ED SULLIVAN SHOW RAW,THE ED SULLIVAN SHOW,,90.0
PRIME: THE EMERIL LAGASSE CHANNEL RAW,THE EMERIL LAGASSE CHANNEL,,90.0
PRIME: THE FBI RAW,THE FBI,,90.0
PRIME: THE FBI FILES RAW,THE FBI FILES,,90.0
PRIME: THE FIRST 48 BY A&E RAW,THE FIRST 48 BY A&E,,90.0
PRIME: THE GIRLS NEXT DOOR RAW,THE GIRLS NEXT DOOR,,69.2
PRIME: THE GRAND TOUR RAW,THE GRAND TOUR,,90.0
PRIME: THE INCREDIBLE DR. POL RAW,THE INCREDIBLE DR. POL,,85.5
PRIME: THE JACK HANNA CHANNEL RAW,THE JACK HANNA CHANNEL,,72.0
PRIME: THE JIM ROME SHOW RAW,THE JIM ROME SHOW,,90.0
PRIME: THE LONE RANGER RAW,THE LONE RANGER,,90.0
PRIME: THE MARTHA STEWART CHANNEL RAW,THE MARTHA STEWART CHANNEL,,90.0
PRIME: THE NEW DETECTIVES RAW,THE NEW DETECTIVES,,90.0
PRIME: THE OSBOURNES RAW,THE OSBOURNES,,90.0
PRIME: THE OUTER LIMITS RAW,THE OUTER LIMITS,,90.0
PRIME: THE OUTPOST RAW,THE OUTPOST,,90.0
PRIME: THE PET COLLECTIVE RAW,THE PET COLLECTIVE,,90.0
PRIME: THE PRACTICE RAW,THE PRACTICE,,77.1
PRIME: THE PRICE IS RIGHT: DREW CAREY RAW,THE PRICE IS RIGHT: DREW CAREY,,85.5
PRIME: THE PRICE IS RIGHT: THE BARKER ERA RAW,THE PRICE IS RIGHT: THE BARKER ERA,,85.5
PRIME: THE REAL MCCOYS RAW,THE REAL MCCOYS,,85.5
PRIME: THE RIFLEMAN RAW,THE RIFLEMAN,,90.0
PRIME: THE STAND-UP CHANNEL RAW,THE STAND-UP CHANNEL,,90.0
PRIME: THE THREE STOOGES + RAW,THE THREE STOOGES +,,85.5
PRIME: THE WALKING DEAD CHANNEL RAW,THE WALKING DEAD CHANNEL,,90.0
PRIME: THE WOMEN'S SPORTS NETWORK RAW,THE WOMEN'S SPORTS NETWORK,,90.0
PRIME: THE YOUNG RIDERS RAW,THE YOUNG RIDERS,,67.5
PRIME: THIS OLD HOUSE RAW,THIS OLD HOUSE,,90.0
PRIME: THIS OLD HOUSE MAKERS CHANNEL RAW,THIS OLD HOUSE MAKERS CHANNEL,,80.6
PRIME: TINY HOUSE NATION RAW,TINY HOUSE NATION,,90.0
PRIME: TMNT RAW,TMNT,,85.7
PRIME: TMZ RAW,TMZ,,90.0
PRIME: TNA WRESTLING CHANNEL RAW,TNA WRESTLING CHANNEL,,90.0
PRIME: TO CATCH A SMUGGLER RAW,TO CATCH A SMUGGLER,,85.5
PRIME: TODAY ALL DAY RAW,TODAY ALL DAY,,90.0
PRIME: TOP CHEF VAULT RAW,TOP CHEF VAULT,,85.5
PRIME: TOP GEAR RAW,TOP GEAR,,90.0
PRIME: TORQUE RAW,TORQUE,,90.0
PRIME: TRAILER PARK BOYS RAW,TRAILER PARK BOYS,,90.0
PRIME: TRANSFORMERS RAW,TRANSFORMERS,,90.0
PRIME: TRAVEL AND ADVENTURE RAW,TRAVEL AND ADVENTURE,,90.0
PRIME: TRIBUNAL JUSTICE RAW,TRIBUNAL JUSTICE,,85.5
PRIME: TRITON POKER RAW,TRITON POKER,,90.0
PRIME: TRUE CRIME & SCANDALS RAW,TRUE CRIME & SCANDALS,,90.0
PRIME: TRUE HISTORY RAW,TRUE HISTORY,,90.0
PRIME: TV CLASSICS RAW,TV CLASSICS,,90.0
PRIME: TV ONE CRIME & JUSTICE RAW,TV ONE CRIME & JUSTICE,,90.0
PRIME: TYLER PERRY'S LOVE THY NEIGHBOR RAW,TYLER PERRY'S LOVE THY NEIGHBOR,,85.5
PRIME: UEFA CHAMPIONS LEAGUE RAW,UEFA CHAMPIONS LEAGUE,,85.5
PRIME: UEFA CHAMPIONS LEAGUE RAW,UEFA CHAMPIONS LEAGUE,,85.5
PRIME: UFC RAW,UFC,,90.0
PRIME: ULTIMATE BUILDS RAW,ULTIMATE BUILDS,,68.4
PRIME: UNBEATEN RAW,UNBEATEN,,90.0
PRIME: UNIQUE LIVES RAW,UNIQUE LIVES,,90.0
PRIME: UNSOLVED MYSTERIES RAW,UNSOLVED MYSTERIES,,90.0
PRIME: UNSPEAKABLE RAW,UNSPEAKABLE,,90.0
PRIME: UNTOLD STORIES OF THE ER RAW,UNTOLD STORIES OF THE ER,,90.0
PRIME: UNXPLAINED ZONE RAW,UNXPLAINED ZONE,,90.0
PRIME: VICE NEWS RAW,VICE NEWS,,90.0
PRIME: WANTED: DEAD OR ALIVE RAW,WANTED: DEAD OR ALIVE,,90.0
PRIME: WAYPOINT TV RAW,WAYPOINT TV,,90.0
PRIME: WEEDS AND NURSE JACKIE RAW,WEEDS AND NURSE JACKIE,,90.0
PRIME: WELCOME HOME RAW,WELCOME HOME,,90.0
PRIME: WENDY WILLIAMS RAW,WENDY WILLIAMS,,90.0
PRIME: WESTERN BOUND WRANGLED BY INSP RAW,WESTERN BOUND WRANGLED BY INSP,,90.0
PRIME: WFTV ORLANDO (ABC) RAW,WFTV ORLANDO (ABC),,90.0
PRIME: WHIO DAYTON (CBS) RAW,WHIO DAYTON (CBS),,85.5
PRIME: WIPEOUT RAW,WIPEOUT,,90.0
PRIME: WORLD POKER TOUR RAW,WORLD POKER TOUR,,90.0
PRIME: WPXI PITTSBURGH (NBC) RAW,WPXI PITTSBURGH (NBC),,85.5
PRIME: WSB ATLANTA (ABC) RAW,WSB ATLANTA (ABC),,85.5
PRIME: WSOC CHARLOTTE (ABC) RAW,WSOC CHARLOTTE (ABC),,85.5
PRIME: XENA WARRIOR PRINCESS RAW,XENA WARRIOR PRINCESS,,72.0
PRIME: XITE 60S & 70S GROOVE RAW,XITE 60S & 70S GROOVE,,90.0
PRIME: XITE 80S FLASHBACK RAW,XITE 80S FLASHBACK,,90.0
PRIME: XITE 90S THROWBACK RAW,XITE 90S THROWBACK,,90.0
PRIME: XITE CELEBRATES RAW,XITE CELEBRATES,,90.0
PRIME: XITE CHRISTIAN HITS RAW,XITE CHRISTIAN HITS,,90.0
PRIME: XITE CLASSIC COUNTRY RAW,XITE CLASSIC COUNTRY,,90.0
PRIME: XITE COUNTRY TODAY RAW,XITE COUNTRY TODAY,,90.0
PRIME: XITE GOSPEL RAW,XITE GOSPEL,,90.0
PRIME: XITE HITS RAW,XITE HITS,,90.0
PRIME: XITE NUEVO LATINO RAW,XITE NUEVO LATINO,,90.0
PRIME: XITE R&B CLASSIC JAMS RAW,XITE R&B CLASSIC JAMS,,85.5
PRIME: XITE R&B FEELS RAW,XITE R&B FEELS,,90.0
PRIME: XITE RAP GAME RAW,XITE RAP GAME,,90.0
PRIME: XITE ROCK X METAL RAW,XITE ROCK X METAL,,90.0
PRIME: XTREME OUTDOOR RAW,XTREME OUTDOOR,,90.0
PRIME: YAHOO FINANCE LIVE RAW,YAHOO FINANCE LIVE,,85.5
PRIME: ZENLIFE BY STINGRAY RAW,ZENLIFE BY STINGRAY,,90.0
PRIME: ADULT SWIM RAW,ADULT SWIM,,85.5
PRIME: AMC CANADA RAW,AMC CANADA,,90.0
PRIME: AMC+ CANADA RAW,AMC+ CANADA,,90.0
PRIME: BBC EARTH RAW,BBC EARTH,,90.0
PRIME: BLOOMBERG TV+ RAW,BLOOMBERG TV+,,90.0
PRIME: CITYNEWS 24/7 RAW,CITYNEWS 24/7,,85.5
PRIME: CITYNEWS 24/7 WEST RAW,CITYNEWS 24/7 WEST,,90.0
PRIME: CITYTV CALGARY RAW,CITYTV CALGARY,,68.4
PRIME: CITYTV EDMONTON RAW,CITYTV EDMONTON,,72.0
PRIME: CITYTV MONTREAL RAW,CITYTV MONTREAL,,65.5
PRIME: CITYTV VANCOUVER RAW,CITYTV VANCOUVER,,66.0
PRIME: DTOUR RAW,DTOUR,,76.0
PRIME: FLAVOUR NETWORK RAW,FLAVOUR NETWORK,,72.0
PRIME: FXX CANADA RAW,FXX CANADA,,90.0
PRIME: GLOBAL BC RAW,GLOBAL BC,,85.5
PRIME: GLOBAL CALGARY RAW,GLOBAL CALGARY,,85.5
PRIME: GLOBAL EDMONTON RAW,GLOBAL EDMONTON,,85.5
PRIME: GLOBAL MARITIMES RAW,GLOBAL MARITIMES,,90.0
PRIME: GLOBAL NEWS BC RAW,GLOBAL NEWS BC,,85.5
PRIME: GLOBAL NEWS CALGARY RAW,GLOBAL NEWS CALGARY,,85.5
PRIME: GLOBAL NEWS EDMONTON RAW,GLOBAL NEWS EDMONTON,,85.5
PRIME: GLOBAL NEWS TORONTO RAW,GLOBAL NEWS TORONTO,,85.5
PRIME: HGTV RAW,HGTV,,75.0
PRIME: HOLLYWOOD SUITE 2000S RAW,HOLLYWOOD SUITE 2000S,,85.5
PRIME: HOLLYWOOD SUITE 2010S+ RAW,HOLLYWOOD SUITE 2010S+,,85.5
PRIME: HOLLYWOOD SUITE 70S+ RAW,HOLLYWOOD SUITE 70S+,,85.5
PRIME: HOLLYWOOD SUITE 80S & 90S RAW,HOLLYWOOD SUITE 80S & 90S,,85.5
PRIME: HOME NETWORK RAW,HOME NETWORK,,90.0
PRIME: LIFETIME (CANADA) RAW,LIFETIME (CANADA),,90.0
PRIME: OMNI TELEVISION RAW,OMNI TELEVISION,,89.7
PRIME: SHOWCASE RAW,SHOWCASE,,90.0
PRIME: SLICE RAW,SLICE,,90.0
PRIME: STARZ1 RAW,STARZ1,,90.9
PRIME: STARZ2 RAW,STARZ2,,90.9
PRIME: SUPER CHANNEL FUSE RAW,SUPER CHANNEL FUSE,,90.0
PRIME: SUPER CHANNEL HEART & HOME RAW,SUPER CHANNEL HEART & HOME,,90.0
PRIME: SUPER CHANNEL QUEST RAW,SUPER CHANNEL QUEST,,90.0
PRIME: SUPER CHANNEL VAULT RAW,SUPER CHANNEL VAULT,,85.5
PRIME: THE WALKING DEAD CHANNEL RAW,THE WALKING DEAD CHANNEL,,90.0
PRIME: TREEHOUSE RAW,TREEHOUSE,,77.1
PRIME: W NETWORK RAW,W NETWORK,,90.0
PRIME: YTV RAW,YTV,,90.0
PRIME: 13EME RUE RAW,13EME RUE,,90.0
PRIME: AB1 RAW,AB1,,72.0
"PRIME: AUTOMOTO, LA CHAÎNE RAW","AUTOMOTO, LA CHAÎNE",,85.5
PRIME: CANAL J RAW,CANAL J,,85.5
PRIME: CARTOONITO RAW,CARTOONITO,,82.4
PRIME: CHASSE ET PECHE RAW,CHASSE ET PECHE,,67.5
PRIME: CINE+ CLASSIC RAW,CINE+ CLASSIC,,85.5
PRIME: CINE+ EMOTION RAW,CINE+ EMOTION,,85.5
PRIME: CINE+ FAMILY RAW,CINE+ FAMILY,,90.0
PRIME: CINE+ FESTIVAL RAW,CINE+ FESTIVAL,,85.5
PRIME: CINE+ FRISSON RAW,CINE+ FRISSON,,85.5
PRIME: CRIME DISTRICT RAW,CRIME DISTRICT,,90.0
PRIME: DREAMWORKS RAW,DREAMWORKS,,67.5
PRIME: E! RAW,E!,,90.0
PRIME: ES1 CHANNEL RAW,ES1 CHANNEL,,90.0
PRIME: FRANCE 2 RAW,FRANCE 2,,90.0
PRIME: FRANCE 3 RAW,FRANCE 3,,85.5
PRIME: FRANCE 4 RAW,FRANCE 4,,85.5
PRIME: FRANCE 5 RAW,FRANCE 5,,85.5
PRIME: FRANCEINFO RAW,FRANCEINFO,,72.0
PRIME: MANGAS RAW,MANGAS,,90.0
PRIME: MEZZO RAW,MEZZO,,90.0
PRIME: MEZZO LIVE RAW,MEZZO LIVE,,90.0
PRIME: OCS RAW,OCS,,90.0
PRIME: OLPLAY RAW,OLPLAY,,72.0
PRIME: SCIENCE ET VIE TV RAW,SCIENCE ET VIE TV,,90.0
PRIME: TCM CINÉMA RAW,TCM CINÉMA,,85.5
PRIME: TIJI RAW,TIJI,,67.5
PRIME: TLC RAW,TLC,,90.0
PRIME: TOUTE L'HISTOIRE RAW,TOUTE L'HISTOIRE,,77.1
PRIME: WARNER TV RAW,WARNER TV,,75.0
PRIME: WARNER TV NEXT RAW,WARNER TV NEXT,,85.5
PRIME: WARNER TV NEXT RAW,WARNER TV NEXT,,85.5
PRIME: ACONTRA+ CINE RAW,ACONTRA+ CINE,,85.5
PRIME: AMC BREAK RAW,AMC BREAK,,90.0
PRIME: AMC CRIME RAW,AMC CRIME,,90.0
PRIME: ANTENA 3 RAW,ANTENA 3,,90.0
PRIME: BE MAD RAW,BE MAD,,85.5
PRIME: BOING RAW,BOING,,83.3
PRIME: CANAL COCINA RAW,CANAL COCINA,,85.5
PRIME: CANAL HOLLYWOOD RAW,CANAL HOLLYWOOD,,85.5
PRIME: CUATRO RAW,CUATRO,,68.4
PRIME: DARK RAW,DARK,,90.0
PRIME: DECASA RAW,DECASA,,90.0
PRIME: DIVINITY RAW,DIVINITY,,65.8
PRIME: E.ENERGY RAW,E.ENERGY,,85.5
PRIME: FDF RAW,FDF,,90.0
PRIME: HISTORIA RAW,HISTORIA,,90.0
PRIME: LALIGA HYPERMOTION TV RAW,LALIGA HYPERMOTION TV,,75.0
PRIME: LALIGA HYPERMOTION TV 2 RAW,LALIGA HYPERMOTION TV 2,,85.5
PRIME: LALIGA HYPERMOTION TV 3 RAW,LALIGA HYPERMOTION TV 3,,85.5
PRIME: LASEXTA RAW,LASEXTA,,90.0
PRIME: MEZZO RAW,MEZZO,,90.0
PRIME: MEZZO LIVE RAW,MEZZO LIVE,,90.0
PRIME: NBA TV INTERNATIONAL RAW,NBA TV INTERNATIONAL,,90.0
PRIME: NEGOCIOS TV RAW,NEGOCIOS TV,,90.0
PRIME: NEOX RAW,NEOX,,77.1
PRIME: NOVA RAW,NOVA,,77.1
PRIME: ODISEA RAW,ODISEA,,90.0
PRIME: SOMOS RAW,SOMOS,,90.0
PRIME: SUNDANCE TV RAW,SUNDANCE TV,,90.0
PRIME: TELECINCO RAW,TELECINCO,,73.7
PRIME: VINTV RAW,VINTV,,80.0
PRIME: VIZNER TV RAW,VIZNER TV,,62.2
PRIME: XTRM RAW,XTRM,,73.3
PRIME: �AMC WESTRN RAW,�AMC WESTRN,,90.0
PRIME: BEIN SPORTS 1 RAW,BEIN SPORTS 1,,87.1
PRIME: BEIN SPORTS 2 RAW,BEIN SPORTS 2,,87.1
PRIME: BEIN SPORTS 3 RAW,BEIN SPORTS 3,,87.1
PRIME: BLOOMBERG TV+ RAW,BLOOMBERG TV+,,90.0
PRIME: CBS NEWS RAW,CBS NEWS,,90.0
PRIME: LALIGA TV RAW,LALIGA TV,,72.0
PRIME: BBC ENTERTAIN RAW,BBC ENTERTAIN,,85.5
PRIME: BBC FIRST RAW,BBC FIRST,,90.0
PRIME: BBC SELECT RAW,BBC SELECT,,85.5
PRIME: ARE WE THERE YET? RAW,ARE WE THERE YET?,,90.0
PRIME: AX MEN RAW,AX MEN,,90.0
PRIME: BAYWATCH RAW,BAYWATCH,,90.0
PRIME: BEYOND BELIEF: FACT OR FICTION RAW,BEYOND BELIEF: FACT OR FICTION,,81.8
PRIME: BIONIC WOMAN RAW,BIONIC WOMAN,,72.0
PRIME: BLOODLINE DETECTIVES RAW,BLOODLINE DETECTIVES,,90.0
PRIME: BLOOMBERG ORIGINALS RAW,BLOOMBERG ORIGINALS,,90.0
PRIME: BLOOMBERG TV+ RAW,BLOOMBERG TV+,,90.0
PRIME: BONDI RESCUE RAW,BONDI RESCUE,,90.0
PRIME: CHEATERS RAW,CHEATERS,,90.0
PRIME: CNN HEADLINES RAW,CNN HEADLINES,,90.0
PRIME: DATELINE 24/7 RAW,DATELINE 24/7,,85.5
PRIME: DEADLY WOMEN RAW,DEADLY WOMEN,,90.0
PRIME: DEAL MASTERS RAW,DEAL MASTERS,,85.5
PRIME: DOG THE BOUNTY HUNTER RAW,DOG THE BOUNTY HUNTER,,90.0
PRIME: DP WORLD TOUR RAW,DP WORLD TOUR,,90.0
PRIME: DUCK DYNASTY RAW,DUCK DYNASTY,,90.0
PRIME: EURO CRIME RAW,EURO CRIME,,90.0
PRIME: EURONEWS RAW,EURONEWS,,90.0
PRIME: FAIL ARMY RAW,FAIL ARMY,,90.0
PRIME: FIFA+ RAW,FIFA+,,90.0
PRIME: FIFTH GEAR RAW,FIFTH GEAR,,90.0
PRIME: GHOST HUNTERS RAW,GHOST HUNTERS,,90.0
PRIME: GRAHAM NORTON SHOW RAW,GRAHAM NORTON SHOW,,90.0
PRIME: HE-MAN & MASTERS OF THE UNIVERSE RAW,HE-MAN & MASTERS OF THE UNIVERSE,,85.5
PRIME: HEARTLAND RAW,HEARTLAND,,90.0
PRIME: HIGHWAY THRU HELL RAW,HIGHWAY THRU HELL,,90.0
PRIME: HISTORY HUNTERS RAW,HISTORY HUNTERS,,90.0
PRIME: HOARDERS RAW,HOARDERS,,90.0
PRIME: HOMES UNDER THE HAMMER RAW,HOMES UNDER THE HAMMER,,67.5
PRIME: I SURVIVED... RAW,I SURVIVED...,,85.5
PRIME: IN THE HEAT OF THE NIGHT RAW,IN THE HEAT OF THE NIGHT,,90.0
PRIME: INSIDE CRIME RAW,INSIDE CRIME,,90.0
PRIME: INTERVENTION RAW,INTERVENTION,,75.0
PRIME: JAIL RAW,JAIL,,90.0
PRIME: JUDY JUSTICE RAW,JUDY JUSTICE,,85.5
PRIME: LALIGATV RAW,LALIGATV,,72.0
PRIME: MARRIED TO MEDICINE RAW,MARRIED TO MEDICINE,,85.5
PRIME: MODERN MARVELS RAW,MODERN MARVELS,,90.0
PRIME: MOVIESPHERE BY LIONSGATE RAW,MOVIESPHERE BY LIONSGATE,,90.0
PRIME: MR BEAN ANIMATED RAW,MR BEAN ANIMATED,,85.5
PRIME: MR BEAN LIVE ACTION RAW,MR BEAN LIVE ACTION,,90.0
PRIME: MYSTERY TV RAW,MYSTERY TV,,90.0
PRIME: MYTHBUSTERS RAW,MYTHBUSTERS,,90.0
PRIME: MYTIME MOVIE NETWORK RAW,MYTIME MOVIE NETWORK,,90.0
PRIME: NBC NEWS NOW RAW,NBC NEWS NOW,,90.0
PRIME: NEIGHBOURS LOOKING BACK RAW,NEIGHBOURS LOOKING BACK,,77.1
PRIME: NINJA WARRIOR RAW,NINJA WARRIOR,,85.5
PRIME: NORTHERN EXPOSURE RAW,NORTHERN EXPOSURE,,64.1
PRIME: PATERNITY COURT RAW,PATERNITY COURT,,90.0
PRIME: PGA TOUR RAW,PGA TOUR,,90.0
PRIME: PINK PANTHER RAW,PINK PANTHER,,90.0
PRIME: PREMIER SPORTS 1 RAW,PREMIER SPORTS 1,,85.5
PRIME: PREMIER SPORTS 2 RAW,PREMIER SPORTS 2,,85.5
PRIME: REAL CRIME RAW,REAL CRIME,,90.0
PRIME: RED BULL TV RAW,RED BULL TV,,85.5
PRIME: RIVER MONSTERS RAW,RIVER MONSTERS,,85.5
PRIME: ROOKIE BLUE RAW,ROOKIE BLUE,,60.0
PRIME: SO...REAL RAW,SO...REAL,,90.0
PRIME: TALKTV RAW,TALKTV,,72.0
PRIME: TERRA MATER WILD RAW,TERRA MATER WILD,,85.5
PRIME: THE ADDAMS FAMILY RAW,THE ADDAMS FAMILY,,90.0
PRIME: THE BIGGEST LOSER RAW,THE BIGGEST LOSER,,90.0
PRIME: THE OUTER LIMITS RAW,THE OUTER LIMITS,,90.0
PRIME: THE REAL HOUSEWIVES RAW,THE REAL HOUSEWIVES,,90.0
PRIME: THE SIX MILLION DOLLAR MAN RAW,THE SIX MILLION DOLLAR MAN,,85.5
PRIME: THIS OLD HOUSE RAW,THIS OLD HOUSE,,90.0
PRIME: TINY HOUSE NATION RAW,TINY HOUSE NATION,,90.0
PRIME: TNT SPORTS 4 RAW,TNT SPORTS 4,,90.0
PRIME: TRUE CRIME NOW RAW,TRUE CRIME NOW,,90.0
PRIME: TRUE CRIME UK RAW,TRUE CRIME UK,,90.0
PRIME: U&LAUGHS RAW,U&LAUGHS,,90.0
PRIME: U&REAL HEROES RAW,U&REAL HEROES,,90.0
PRIME: U&THE PAST RAW,U&THE PAST,,90.0
PRIME: U&TRANSPORT RAW,U&TRANSPORT,,90.0
PRIME: UNSOLVED MYSTERIES RAW,UNSOLVED MYSTERIES,,90.0
PRIME: WORLD WAR TV RAW,WORLD WAR TV,,90.0
PRIME: XENA WARRIOR PRINCESS RAW,XENA WARRIOR PRINCESS,,72.0
PRIME: YU-GI-OH! RAW,YU-GI-OH!,,90.0
PRIME: 3SAT RAW,3SAT,,90.0
PRIME: AMASIA RAW,AMASIA,,90.0
PRIME: ARD PLUS KRIMI RAW,ARD PLUS KRIMI,,85.5
PRIME: ARD PLUS LINDENSTRASSE RAW,ARD PLUS LINDENSTRASSE,,85.5
PRIME: ARD-ALPHA RAW,ARD-ALPHA,,68.4
PRIME: ARTE RAW,ARTE,,90.0
PRIME: AXN BLACK RAW,AXN BLACK,,85.5
PRIME: AXN WHITE RAW,AXN WHITE,,72.0
PRIME: BBC FOOD RAW,BBC FOOD,,90.0
PRIME: BBC HISTORY RAW,BBC HISTORY,,90.0
PRIME: BBC TRAVEL RAW,BBC TRAVEL,,90.0
PRIME: BERGBLICK RAW,BERGBLICK,,72.0
PRIME: BIONIC WOMAN RAW,BIONIC WOMAN,,72.0
PRIME: BLOOMBERG ORIGINALS RAW,BLOOMBERG ORIGINALS,,90.0
PRIME: BLOOMBERG TV+ RAW,BLOOMBERG TV+,,90.0
PRIME: BR FERNSEHEN NORD RAW,BR FERNSEHEN NORD,,77.1
PRIME: BR FERNSEHEN SÜD RAW,BR FERNSEHEN SÜD,,85.5
PRIME: CNN HEADLINES RAW,CNN HEADLINES,,90.0
PRIME: CRIME + INVESTIGATION PLAY RAW,CRIME + INVESTIGATION PLAY,,86.0
PRIME: CRIME SCENE TV | DE RAW,CRIME SCENE TV | DE,,90.0
PRIME: DAS ERSTE RAW,DAS ERSTE,,72.0
PRIME: DATELINE 24/7 RAW,DATELINE 24/7,,85.5
PRIME: DEFA TV RAW,DEFA TV,,75.0
PRIME: EIN ENGEL AUF ERDEN RAW,EIN ENGEL AUF ERDEN,,67.5
PRIME: ESPORTSONE RAW,ESPORTSONE,,90.0
PRIME: EURONEWS DEUTSCH RAW,EURONEWS DEUTSCH,,90.0
PRIME: FAIL ARMY DE RAW,FAIL ARMY DE,,90.0
PRIME: FILMGOLD RAW,FILMGOLD,,90.0
PRIME: FILMRISE BINGE WATCH RAW,FILMRISE BINGE WATCH,,90.0
PRIME: FILMRISE TRUE CRIME RAW,FILMRISE TRUE CRIME,,90.0
PRIME: FIX&FOXI TV RAW,FIX&FOXI TV,,90.0
PRIME: GOLDSTAR TV RAW,GOLDSTAR TV,,90.0
PRIME: GRJNGO - WESTERNFILME RAW,GRJNGO - WESTERNFILME,,90.0
PRIME: GUTE LAUNE RAW,GUTE LAUNE,,72.0
PRIME: H&C TV RAW,H&C TV,,90.0
PRIME: HEIMATKANAL RAW,HEIMATKANAL,,65.8
PRIME: HELL'S KITCHEN RAW,HELL'S KITCHEN,,90.0
PRIME: HGTV RAW,HGTV,,75.0
PRIME: HISTORY PLAY RAW,HISTORY PLAY,,90.0
PRIME: HOT ONES RAW,HOT ONES,,90.0
PRIME: HR-FERNSEHEN RAW,HR-FERNSEHEN,,60.0
PRIME: INSPECTOR GADGET RAW,INSPECTOR GADGET,,90.0
PRIME: IRONSIDE RAW,IRONSIDE,,90.0
PRIME: JUDY JUSTICE RAW,JUDY JUSTICE,,85.5
