name,base_name,stream_id,source,epg_id,score,method
PRIME: THE JACK HANNA CHANNEL RAW,THE JACK HANNA CHANNEL,,pass3_samsung,USBC2100009GT,100.0,pass3-exact
PRIME: THE JIM ROME SHOW RAW,THE JIM ROME SHOW,,pass3_samsung,US2900014UU,100.0,pass3-exact
PRIME: THE LONE RANGER RAW,THE LONE RANGER,,pass3_pluto,65a6dafb7bdc8d0008473c85,100.0,pass3-exact
PRIME: THE MARTHA STEWART CHANNEL RAW,THE MARTHA STEWART CHANNEL,,pass3_pluto,67c62ac2095aea2ec805eb34,100.0,pass3-exact
PRIME: THE NEW DETECTIVES RAW,THE NEW DETECTIVES,,pass3_pluto,5aea40b35126c2157123aa64,100.0,pass3-exact
PRIME: THE OSBOURNES RAW,THE OSBOURNES,,pass3_plex_mjh,6a1610bebdf296985fd95603-6515fa752ff655e77635c626,100.0,pass3-exact
PRIME: THE OUTER LIMITS RAW,THE OUTER LIMITS,,pass3_plex_mjh,6a1610bebdf296985fd95603-689fb59eba3be0bafe349d35,100.0,pass3-exact
PRIME: THE OUTPOST RAW,THE OUTPOST,,pass3_plex_mjh,6a1610bebdf296985fd95603-6762ec6a4a292357428c1b59,100.0,pass3-exact
PRIME: THE PRACTICE RAW,THE PRACTICE,,pass3_roku,6f3c26dab03826c9fdb44e0e61932e68,100.0,pass3-exact
PRIME: THE PRICE IS RIGHT: THE BARKER ERA RAW,THE PRICE IS RIGHT: THE BARKER ERA,,pass3_pluto,5f7791b8372da90007fd45e6,100.0,pass3-exact
PRIME: THE REAL HOUSEWIVES RAW,THE REAL HOUSEWIVES,,pass3_rakuten,UK:.The.Real.Housewives.be,95.0,pass3-fuzzy
PRIME: THE REPAIR SHOP RAW,THE REPAIR SHOP,,us2,The.Repair.Shop.us2,98.0,exact
PRIME: THE RIFLEMAN RAW,THE RIFLEMAN,,pass3_pluto,5e825550e758c700077b0aef,100.0,pass3-exact
PRIME: THE WALKING DEAD CHANNEL RAW,THE WALKING DEAD CHANNEL,,amazon_direct,amazon::The Walking Dead Channel,100.0,amazon-fuzzy
PRIME: THE WALKING DEAD UNIVERSE RAW,THE WALKING DEAD UNIVERSE,,plex,plex.tv.The.Walking.Dead.Universe.plex,95.0,fuzzy
PRIME: THE WICKED TUNA CHANNEL RAW,THE WICKED TUNA CHANNEL,,pass3_plex_mjh,6a1610bebdf296985fd95603-6623c335ed4918437ed56ec0,100.0,pass3-exact
PRIME: THE WOMEN'S SPORTS NETWORK RAW,THE WOMEN'S SPORTS NETWORK,,pass3_samsung,US4100001KP,95.0,pass3-fuzzy
PRIME: THIS OLD HOUSE MAKERS CHANNEL RAW,THIS OLD HOUSE MAKERS CHANNEL,,pass3_samsung,USBC1300005T6,100.0,pass3-exact
PRIME: THIS OLD HOUSE RAW,THIS OLD HOUSE,,pass3_samsung,USBC13000065U,100.0,pass3-exact
PRIME: TINY HOUSE NATION RAW,TINY HOUSE NATION,,pass3_samsung,USAJ3400020KC,100.0,pass3-exact
PRIME: TLC RAW,TLC,,pass3_australia,TLC.au,100.0,pass3-exact
PRIME: TMZ RAW,TMZ,,pass3_samsung,USBD70000213,100.0,pass3-exact
PRIME: TNA WRESTLING CHANNEL RAW,TNA WRESTLING CHANNEL,,pass3_pluto,59b722526996084038c01e1b,100.0,pass3-exact
PRIME: TNT SPORTS 4 RAW,TNT SPORTS 4,,pass3_uk,TNT.Sports.4.HD.uk,100.0,pass3-exact
PRIME: TO CATCH A SMUGGLER RAW,TO CATCH A SMUGGLER,,pass3_samsung,US4100030YU,100.0,pass3-exact
PRIME: TODAY ALL DAY RAW,TODAY ALL DAY,,pass3_pluto,5d695f7db53adf96b78e7ce3,100.0,pass3-exact
PRIME: TOP GEAR RAW,TOP GEAR,,pass3_samsung,USBC2400027NG,100.0,pass3-exact
PRIME: TOP SCI-FI RAW,TOP SCI-FI,,pass3_rakuten,DE:.TOP.SCI-FI.be,95.0,pass3-fuzzy
PRIME: TORQUE RAW,TORQUE,,pass3_samsung,USBB5200027Z5,100.0,pass3-exact
PRIME: TRANSFORMERS RAW,TRANSFORMERS,,pass3_samsung,US29000168D,100.0,pass3-exact
PRIME: TREEHOUSE RAW,TREEHOUSE,,pass3_canada,Treehouse.ca2,100.0,pass3-exact
PRIME: TRITON POKER RAW,TRITON POKER,,pass3_samsung,US18000206C,100.0,pass3-exact
PRIME: TRUE CRIME NOW RAW,TRUE CRIME NOW,,pass3_australia,TrueCrimeNow.au,100.0,pass3-exact
PRIME: TRUE CRIME UK RAW,TRUE CRIME UK,,pass3_uk,True.Crime.uk,100.0,pass3-exact
PRIME: TV CLASSICS RAW,TV CLASSICS,,pass3_australia,Classics.au,95.0,pass3-fuzzy
PRIME: TV ONE CRIME & JUSTICE RAW,TV ONE CRIME & JUSTICE,,pass3_samsung,US46000120T,100.0,pass3-exact
PRIME: TYLER PERRY'S LOVE THY NEIGHBOR RAW,TYLER PERRY'S LOVE THY NEIGHBOR,,pass3_roku,c6f4945dee0671cc7404eb126591c52e,100.0,pass3-exact
PRIME: U&LAUGHS RAW,U&LAUGHS,,pass3_uk,U.and.Laughs.uk,100.0,pass3-exact
PRIME: U&REAL HEROES RAW,U&REAL HEROES,,pass3_uk,U.and.Real.Heroes.uk,100.0,pass3-exact
PRIME: U&THE PAST RAW,U&THE PAST,,pass3_uk,U.and.The.Past.uk,100.0,pass3-exact
PRIME: U&TRANSPORT RAW,U&TRANSPORT,,pass3_uk,U.and.Transport.uk,100.0,pass3-exact
PRIME: UEFA CHAMPIONS LEAGUE RAW,UEFA CHAMPIONS LEAGUE,,pass3_samsung,US1000012ML,100.0,pass3-exact
PRIME: UFC RAW,UFC,,pass3_pluto,677d9adfa9a51b0008497fa0,100.0,pass3-exact
PRIME: ULTIMATE BUILDS RAW,ULTIMATE BUILDS,,pass3_pluto,656542ae4261ca00082154a8,100.0,pass3-exact
PRIME: UNBEATEN RAW,UNBEATEN,,pass3_australia,Unbeaten.au,100.0,pass3-exact
PRIME: UNIQUE LIVES RAW,UNIQUE LIVES,,pass3_plex_mjh,6a1610bebdf296985fd95603-66a1ac4877649467da169f0a,100.0,pass3-exact
PRIME: UNIVERSAL ACTION RAW,UNIVERSAL ACTION,,us2,Universal.Action.us2,98.0,exact
PRIME: UNIVERSAL CRIME RAW,UNIVERSAL CRIME,,us2,Universal.Crime.us2,98.0,exact
