name,source,source_epg_id,score,method,programmes
GO: GREAT AMERICAN FAMILY,us2,Great.American.Family.HD.us2,100.0,alias-id,59
GO: GRIT,us2,Grit.us2,98.0,exact,117
GO: GUSTO TV,samsung,USAK3508724A,98.0,exact,10
GO: HALLMARK CHANNEL,us2,Hallmark.Channel.HD.us2,100.0,alias-id,115
GO: HBO EAST,us2,HBO.East.us2,100.0,alias-id,81
GO: HBO LATINO,us2,HBO.East.us2,100.0,alias-id,81
GO: HBO2 EAST,us2,HBO2.HD.us2,100.0,alias-id,64
GO: HERSPHERE,tubi,TUBI:HERSPHERE,98.0,exact,56
GO: HGTV,usent,US: HGTV HD,98.0,exact,260
GO: HISTORY,us2,History.HD.us2,98.0,exact,110
GO: HISTORY & WARFARE,plex,6a1610bebdf296985fd95603-635c5c6ac3585aefbd236576,98.0,exact,76
GO: HLN,us2,HLN.HD.us2,98.0,exact,181
GO: HOME SHOPPING NETWORK,us2,HSN.Home.Shopping.Network.HD.us2,100.0,alias-id,96
GO: HORROR BY ALTER,tubi,TUBI:HORROR BY ALTER,98.0,exact,31
GO: HOW TO,tubi,TUBI:HOW TO,98.0,exact,108
GO: I (ALMOST) GOT AWAY WITH IT,prime,PRIME: I  (ALMOST) GOT AWAY WITH IT RAW,98.0,exact,89
GO: ICE ROAD TRUCKERS,tubi,TUBI:ICE ROAD TRUCKERS,98.0,exact,52
GO: IFC,us2,IFC.HD.us2,98.0,exact,117
GO: INFAST,us2,INFAST.US.us2,98.0,exact,139
GO: INVESTIGATION DISCOVERY,us2,Investigation.Discovery.HD.us2,100.0,alias-id,95
GO: INWONDER,samsung,USBA300023G8,98.0,exact,6
GO: ION EAST,usent,US: ION,96.0,relaxed,94
GO: JAMIE OLIVER,prime,PRIME: JAMIE OLIVER RAW,98.0,exact,11
GO: JOEL OSTEEN,prime,PRIME: JOEL OSTEEN CHANNEL RAW,96.0,relaxed,139
GO: JUSTICE CENTRAL,us2,Justice.Central.HD.us2,98.0,exact,192
GO: LET'S MAKE A DEAL,prime,PRIME: LET'S MAKE A DEAL RAW,98.0,exact,17
GO: LIFETIME,us2,Lifetime.HD.us2,98.0,exact,110
GO: LOGO,us2,Logo.us2,98.0,exact,100
GO: LOOLOO KIDS,us2,LooLoo.Kids.TV.us2,96.0,relaxed,49
GO: LOVE NATURE,tubi,TUBI:LOVE NATURE,98.0,exact,47
GO: MAGELLANTV WILDEST,prime,PRIME: MAGELLANTV WILDEST RAW,98.0,exact,9
