name
GO: A&E
GO: ABC-WABC
GO: ACC NETWORK
GO: ACCUWEATHER
GO: ALWAYS FUNNY: PRANKS & FAILS
GO: AMERICAN HEROES
GO: ANIMAL PLANET
GO: ASPIRE
GO: AXS TV
GO: BABY FIRST
GO: BET
GO: BET HER
GO: BIG 12
GO: BIG TEN
GO: BIG TEN NETWORK OVERFLOW 2
GO: BIG TEN NETWORK OVERFLOW 3
GO: BIG TEN NETWORK OVERFLOW 4
GO: BOUNCETV
GO: C-SPAN
GO: C-SPAN2
GO: CBS SPORTS NETWORK
GO: CBS-WCBS
GO: CLEO TV
GO: CMT
GO: CNBC
GO: CNBC WORLD
GO: CNNI EAST
GO: COMEDY CENTRAL
GO: COMEDY TV
GO: COOKING CHANNEL
GO: COZI TV
GO: CRIME 360
GO: CW-WPIX
GO: DAYSTAR
GO: DECLASSIFIED
GO: DESTINATION AMERICA
GO: DROOL
GO: E!
GO: EARTH TOUCH
GO: EARTHX
GO: ESPN
GO: ESPN2
GO: ESPNEWS
GO: ESPNU
GO: FAIL ARMY
GO: FAMILY ENTERTAINMENT TELEVISION
GO: FAMILY MOVIE CLASSICS
GO: FANDUEL TV
GO: FM
GO: FOX BUSINESS NETWORK
GO: FOX NEWS CHANNEL
GO: FOX SPORTS 1
GO: FOX SPORTS 2
GO: FOX-WNYW
GO: FREEFORM
GO: FUSE
GO: FX MOVIE CHANNEL
GO: FXX
GO: FYI
GO: GALAVISION
GO: GEM SHOPPING NETWORK
GO: GOLF CHANNEL
GO: GREAT AMERICAN FAMILY
GO: GRIT
GO: GSN
GO: HALLMARK CHANNEL
GO: HBO2 EAST
GO: HEROES & ICONS
GO: HLN
GO: HOME SHOPPING NETWORK
GO: I24 NEWS
GO: JEWELRY TV
GO: JUSTICE CENTRAL
GO: LIFETIME MOVIE NETWORK
GO: LOGO
GO: LOOLOO KIDS
GO: METV
GO: METV TOONS
GO: MLB NETWORK ALTERNATE
GO: MNT-WWOR
GO: MOTORTREND
GO: MSG
GO: MSG ALT-1
GO: MSG ALT-2
GO: MSG ALT-3
GO: MSG SPORTSNET 635
GO: MSNBC
GO: MTV
GO: MTV2
GO: NAT GEO WILD
GO: NBC-WNBC
GO: NET MOVIES
GO: NEWSMAX TV
GO: NEWSNATION
GO: NICK JR.
GO: NICKELODEON EAST
GO: NICKTOONS
GO: OVATION
GO: OWN
GO: OXYGEN TRUE CRIME
GO: PARAMOUNT TV
GO: PBS-WNET
GO: PBS-WNJN
GO: PLAYERS TV
GO: POP
GO: PURSUIT CHANNEL
GO: QVC3
GO: RACER NETWORK
GO: RECIPETV
GO: REELZCHANNEL
GO: REVOLT
GO: RFD-TV
GO: RVTV
GO: SCIENCE
GO: SCIENTOLOGY NETWORK
GO: SEC NETWORK
GO: SHORTS TV
GO: SMITHSONIAN CHANNEL
GO: SOMOS NOVELAS
GO: SPORTSMAN CHANNEL
GO: SPORTSNET NEW YORK 639
GO: START TV
GO: STARZ ENCORE ACTION
GO: STARZ ENCORE BLACK
GO: STARZ ENCORE CLASSIC
GO: STARZ ENCORE EAST
GO: STARZ ENCORE FAMILY
GO: STARZ ENCORE SUSPENSE
GO: STARZ ENCORE WEST
GO: STARZ ENCORE WESTERNS
GO: TBS
GO: TCM
GO: TEENNICK
GO: THE WEATHER CHANNEL
GO: TMO-WNJU
GO: TNA
GO: TNT
GO: TORQUE BY HISTORY
GO: TOTAL CRIME
GO: TRAVEL CHANNEL
GO: TRIBECA FESTIVAL+
GO: TRUTV
GO: TUDN
GO: TV LAND
GO: UNIMAS WEST
GO: UNIVERSO
GO: UNIVISION EAST
GO: UNIVISION-WXTV
GO: UP
GO: USA NETWORK
GO: VH1
GO: WE TV
GO: WLNY
GO: YANKEES ENTERTAINMENT & SPORTS NETWORK
GO: YES NETWORK
